Date;HomeTeam;GuestTeam;HomeGoals;GuestGoals
08.12.18;Bayern Munich;FC Nurnberg;3;0
08.12.18;SC Freiburg;RB Leipzig;3;0
08.12.18;Union Berlin;Eintracht Frankfurt;1;0
08.12.18;Bayer Leverkusen;FC Augsburg;1;0
08.12.18;Schalke 04;Dortmund;1;2
08.12.18;Vfl Wolfsburg;HSV;2;2
09.12.18;Mainz 04;Hannover;1;1
09.12.18;M'gladbach;Vfb Stuttgart;3;0
14.12.18;FC Nurnberg;Vfl Wolfsburg;0;2
15.12.18;FC Augsburg;Schalke 04;1;1
15.12.18;Dortmund;Werder Bremen;2;1
15.12.18;Fortuna Dusseldorf;SC Freiburg;2;0
15.12.18;Hannover;Bayern Munich;0;4
15.12.18;HSV;M'gladbach;0;0
15.12.18;Vfb Stuttgart;Union Berlin;2;1
16.12.18;Eintracht Frankfurt;Bayer Leverkusen;2;1
16.12.18;RB Leipzig;Mainz 04;4;1
18.12.18;Fortuna Dusseldorf;Dortmund;2;1
18.12.18;Union Berlin;FC Augsburg;2;2
18.12.18;M'gladbach;FC Nurnberg;2;0
18.12.18;Vfl Wolfsburg;Vfb Stuttgart;2;0
19.12.18;Bayern Munich;RB Leipzig;1;0
19.12.18;SC Freiburg;Hannover;1;1
19.12.18;Mainz 04;Eintracht Frankfurt;2;2
19.12.18;Schalke 04;Bayer Leverkusen;1;2
19.12.18;Werder Bremen;HSV;1;1
21.12.18;Dortmund;M'gladbach;2;1
22.12.18;Eintracht Frankfurt;Bayern Munich;0;3
22.12.18;Hannover;Fortuna Dusseldorf;0;1
22.12.18;Bayer Leverkusen;Union Berlin;3;1
22.12.18;FC Nurnberg;SC Freiburg;0;1
22.12.18;RB Leipzig;Werder Bremen;3;2
22.12.18;Vfb Stuttgart;Schalke 04;1;3
23.12.18;FC Augsburg;Vfl Wolfsburg;2;3
23.12.18;HSV;Mainz 04;1;1
18.01.19;HSV;Bayern Munich;1;3
19.01.19;FC Augsburg;Fortuna Dusseldorf;1;2
19.01.19;Eintracht Frankfurt;SC Freiburg;3;1
19.01.19;Hannover;Werder Bremen;0;1
19.01.19;Bayer Leverkusen;M'gladbach;0;1
19.01.19;RB Leipzig;Dortmund;0;1
19.01.19;Vfb Stuttgart;Mainz 04;2;3
20.01.19;FC Nurnberg;Union Berlin;1;3
20.01.19;Schalke 04;Vfl Wolfsburg;2;1
25.01.19;Union Berlin;Schalke 04;2;2
26.01.19;Dortmund;Hannover;5;1
26.01.19;SC Freiburg;HSV;2;4
26.01.19;Mainz 04;FC Nurnberg;2;1
26.01.19;M'gladbach;FC Augsburg;2;0
26.01.19;Werder Bremen;Eintracht Frankfurt;2;2
26.01.19;Vfl Wolfsburg;Bayer Leverkusen;0;3
27.01.19;Bayern Munich;Vfb Stuttgart;4;1
27.01.19;Fortuna Dusseldorf;RB Leipzig;0;4
